guidelink,channel_id,channel_slug,channel_name,channel_name_location,channel_name_real,chantype,chancomp,channel_url,chanbouq,chanlcnfta1,chanlcnfta2,chanlcnfta3,chanlcnfox,chanlcnfet,channel_number,chlogo_light,chlogo_dark,channel_group,channel_type,chlogo
264783auepg.com.au,264783auepg.com.au,264783auepg-com-au,SBS,SBS Queensland,SBS ONE,SD 576i,MPEG-2,http://www.sbs.com.au/television,"[601, 602, 603, 611, 604, 612, 605, 606, 607, 608, 609, 1002, 1013]",3,0,0,0,0,,https://i.imgur.com/r1oHpPT.png,https://i.imgur.com/r1oHpPT.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/r1oHpPT.png
264783auepg.com.au,264783auepg.com.au,264783auepg-com-au,SBS HD,SBS HD Queensland,SBS ONE HD,HD 1080i,MPEG-4,http://www.sbs.com.au/television,"[601, 602, 603, 611, 604, 612, 605, 606, 607, 608, 609, 1002, 1013]",30,0,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/tKqCF69.png
264783auepg.com.au,264783auepg.com.au,264783auepg-com-au,SBS HD,SBS HD Queensland & NT,SBS HD QLD&NT,HD 1080i,MPEG-4,,"[620, 720, 5029, 5905]",3,30,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/tKqCF69.png
264783auepg.com.au,264783auepg.com.au,264783auepg-com-au,SBS HD,SBS HD Queensland & NT,SBS HD QLD&NT,HD 1080i,MPEG-4,,"[620, 720, 950]",30,3,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/tKqCF69.png
264783auepg.com.au,264783auepg.com.au,264783auepg-com-au,SBS HD,SBS HD Queensland & NT,SBS HD QLD&NT,HD 1080i,MPEG-4,,"[120, 320, 420, 520, 820]",340,0,0,0,0,,https://i.imgur.com/tKqCF69.png,https://i.imgur.com/tKqCF69.png,Special Broadcasting Service ,Free-to-Air,https://i.imgur.com/tKqCF69.png
264823auepg.com.au,264823auepg.com.au,264823auepg-com-au,Imparja HD,Imparja HD South,Imparja South,HD 1080i,MPEG-4,http://www.imparja.com/,"[116, 900, 956, 5913]",9,91,0,0,0,,https://i.imgur.com/43gDatI.png,https://i.imgur.com/43gDatI.png,Imparja Television,Free-to-Air,https://i.imgur.com/43gDatI.png
264823auepg.com.au,264823auepg.com.au,264823auepg-com-au,Imparja HD,Imparja HD South,Imparja South,HD 1080i,MPEG-4,,"[116, 900]",91,9,0,0,0,,https://i.imgur.com/43gDatI.png,https://i.imgur.com/43gDatI.png,Imparja Television,Free-to-Air,https://i.imgur.com/43gDatI.png
264823auepg.com.au,264823auepg.com.au,264823auepg-com-au,Imparja HD,Imparja HD South,Imparja South,HD 1080i,MPEG-4,,"[120, 320, 420, 520]",9,91,0,0,0,,https://i.imgur.com/43gDatI.png,https://i.imgur.com/43gDatI.png,Imparja Television,Free-to-Air,https://i.imgur.com/43gDatI.png
264823auepg.com.au,264823auepg.com.au,264823auepg-com-au,Imparja HD,Imparja HD South,Imparja South,HD 1080i,MPEG-4,,"[120, 320, 420, 520]",91,9,0,0,0,,https://i.imgur.com/43gDatI.png,https://i.imgur.com/43gDatI.png,Imparja Television,Free-to-Air,https://i.imgur.com/43gDatI.png
273191auepg.com.au,273191auepg.com.au,273191auepg-com-au,SBS,SBS Victoria,SBS ONE,SD 576i,MPEG-2,http://www.sbs.com.au/television,"[301, 304, 305, 306, 307, 308, 302, 1002, 1014]",3,0,0,0,0,,https://i.imgur.com/r1oHpPT.png,https://i.imgur.com/r1oHpPT.png,Special Broadcasting Service,Free-to-Air,https://i.imgur.com/r1oHpPT.png
